id,latitude,longitude,name,zone,total_lines,rail,pagerank
1,51.5028,-0.2801,Acton Town,3.0,2,0,0.005002361039571115
2,51.5143,-0.0755,Aldgate,1.0,2,0,0.0023762423767747904
3,51.5154,-0.0726,Aldgate East,1.0,2,0,0.0034015233511807577
4,51.5107,-0.013000000000000001,All Saints,2.0,1,0,0.002764466837856401
5,51.5407,-0.2997,Alperton,4.0,1,0,0.0031722928360920716
7,51.5322,-0.1058,Angel,1.0,1,0,0.0025204974148803853
8,51.5653,-0.1353,Archway,2.5,1,0,0.00316821889614183
9,51.6164,-0.1331,Arnos Grove,4.0,1,0,0.0034393243787540833
10,51.5586,-0.1059,Arsenal,2.0,1,0,0.0028469831484611617
11,51.5226,-0.1571,Baker Street,1.0,5,0,0.007612947292341917
12,51.4431,-0.1525,Balham,3.0,1,1,0.0033071304706010426
13,51.5133,-0.0886,Bank,1.0,4,0,0.007140357533229205
14,51.5204,-0.0979,Barbican,1.0,3,0,0.0025006072785233027
15,51.5396,0.081,Barking,4.0,2,1,0.003239739654128935
16,51.5856,0.0887,Barkingside,5.0,1,0,0.0032743377122477525
17,51.4905,-0.2139,Barons Court,2.0,2,0,0.003602216226233999
18,51.5121,-0.1879,Bayswater,1.0,2,0,0.0026008164815907453
19,51.5148,0.0613,Beckton,3.0,1,0,0.0021196410528744503
20,51.5087,0.055,Beckton Park,3.0,1,0,0.003429648366628485
21,51.5403,0.127,Becontree,5.0,1,0,0.003314448564252157
22,51.5504,-0.1642,Belsize Park,2.0,1,0,0.003062286253530119
24,51.527,-0.0549,Bethnal Green,2.0,1,0,0.002408906205128441
25,51.512,-0.1031,Blackfriars,1.0,2,0,0.002788216522940172
26,51.5867,-0.0417,Blackhorse Road,3.0,1,1,0.0036770007600590237
27,51.5079,-0.0066,Blackwall,2.0,1,0,0.002676720936512387
28,51.5142,-0.1494,Bond Street,1.0,2,0,0.004143338905548851
29,51.5011,-0.0943,Borough,1.0,1,0,0.002440974667129324
30,51.4956,-0.325,Boston Manor,4.0,1,0,0.00315125243332659
31,51.6071,-0.1243,Bounds Green,3.5,1,0,0.0033408732848202185
32,51.5273,-0.0208,Bow Church,2.0,3,0,0.00291345666019245
33,51.5269,-0.0247,Bow Road,2.0,2,0,0.002645266120616768
34,51.5766,-0.2136,Brent Cross,3.0,1,0,0.0033557688740632756
36,51.5248,-0.0119,Bromley-By-Bow,2.5,2,0,0.00267369793312299
38,51.6028,-0.2641,Burnt Oak,4.0,1,0,0.0038258624363463715
39,51.5481,-0.1188,Caledonian Road,2.0,1,0,0.0026643092209678947
40,51.5392,-0.1426,Camden Town,2.0,1,0,0.004925214751510527
42,51.5051,-0.0209,Canary Wharf,2.0,2,0,0.004910453192326391
44,51.5113,-0.0904,Cannon Street,1.0,2,0,0.002683056773460019
45,51.6078,-0.2947,Canons Park,5.0,1,0,0.003663340737222785
47,51.5441,-0.1538,Chalk Farm,2.0,1,0,0.002844768534168141
48,51.5185,-0.1111,Chancery Lane,1.0,1,0,0.002451867493613276
49,51.508,-0.1247,Charing Cross,1.0,2,1,0.003059595262754043
51,51.6177,0.0755,Chigwell,5.0,1,0,0.0032051017727987292
52,51.4946,-0.2678,Chiswick Park,3.0,1,0,0.0025981113290641836
54,51.4618,-0.1384,Clapham Common,2.0,1,0,0.0031513272618130723
55,51.4649,-0.1299,Clapham North,2.0,1,0,0.0030046750045697197
56,51.4527,-0.14800000000000002,Clapham South,2.5,1,0,0.0032415332779978496
58,51.5955,-0.2502,Colindale,4.0,1,0,0.0035879893153666284
59,51.418,-0.1778,Colliers Wood,3.0,1,0,0.003593207454996835
60,51.5129,-0.1243,Covent Garden,1.0,1,0,0.002283429900843757
61,51.4957,-0.0144,Crossharbour & London Arena,2.0,1,0,0.003178671182060726
63,51.5095,0.0276,Custom House,3.0,1,0,0.003089767606315998
65,51.5085,0.064,Cyprus,3.0,1,0,0.003577241608691558
66,51.5443,0.1655,Dagenham East,5.0,1,0,0.0033940588135836463
67,51.5417,0.1469,Dagenham Heathway,5.0,1,0,0.003347804377302079
70,51.5223,-0.0173,Devons Road,2.0,1,0,0.002909806228392615
71,51.552,-0.2387,Dollis Hill,3.0,1,0,0.00302384961220374
72,51.5152,-0.3017,Ealing Broadway,3.0,2,1,0.0029089823969171433
73,51.5101,-0.2882,Ealing Common,3.0,2,0,0.004056478141728161
74,51.492,-0.1973,Earl's Court,1.5,2,0,0.007047351482226214
75,51.5765,-0.397,Eastcote,5.0,2,0,0.003135571770735856
76,51.5168,-0.2474,East Acton,2.0,1,0,0.003036503060888499
77,51.5874,-0.165,East Finchley,3.0,1,0,0.003277140514689013
78,51.5394,0.0518,East Ham,3.5,2,0,0.0031720187064239666
79,51.5093,-0.0021,East India,2.5,1,0,0.0027033452840537517
80,51.4586,-0.2112,East Putney,2.5,1,0,0.003420490530845342
81,51.6137,-0.275,Edgware,5.0,1,0,0.0021226802771690616
82,51.5199,-0.1679,Edgware Road (B),1.0,1,0,0.0026250296746105437
83,51.5203,-0.17,Edgware Road (C),1.0,3,0,0.002471337829992528
84,51.4943,-0.1001,Elephant & Castle,1.5,2,1,0.0035226011270808977
85,51.5496,0.1977,Elm Park,6.0,1,0,0.0034695369682550144
87,51.5074,-0.1223,Embankment,1.0,4,0,0.004179620784901188
89,51.5282,-0.1337,Euston,1.0,2,1,0.004480637918445009
90,51.526,-0.1359,Euston Square,1.0,3,0,0.0025162038080482783
91,51.596000000000004,0.0912,Fairlop,5.0,1,0,0.003278371889619839
92,51.5203,-0.1053,Farringdon,1.0,3,1,0.002520497414880388
93,51.6012,-0.1932,Finchley Central,4.0,1,0,0.004959409461720181
94,51.5472,-0.1803,Finchley Road,2.0,2,0,0.004826293194644552
95,51.5642,-0.1065,Finsbury Park,2.0,1,1,0.005382232975432448
96,51.4804,-0.195,Fulham Broadway,2.0,1,0,0.0030381841656217153
97,51.5096,0.0716,Gallions Reach,3.0,1,0,0.0038187113203590572
98,51.5765,0.0663,Gants Hill,4.0,1,0,0.0032211540646694967
