,j_coef,tp,tv
0,0.795904666735605,Park,Home (private)
1,1.1097932297980062,Park,Hotel
2,2.1520103403499573,Park,Event Space
3,0.835798209806663,Park,Pub
4,7.36669236105863,Park,Stadium
5,0.9515754204816529,Park,Office
6,1.0312595367784048,Park,Coffee Shop
7,1.099300768935759,Park,Plaza
8,0.8562522409103471,Park,Gym
9,0.8599683740582267,Park,Grocery Store
10,1.8846264128779944,Park,Monument / Landmark
11,0.9916323118577892,Park,Bar
12,1.0548637677113688,Park,History Museum
13,1.311267431158788,Park,Department Store
14,1.3079488242896582,Park,Scenic Lookout
15,1.3097609704556714,Park,Soccer Stadium
16,1.5566824037287272,Park,Ramen /  Noodle House
17,1.2983999233327088,Park,Theater
18,0.7477727252850812,Park,Church
19,1.0454027297888533,Park,Farmers Market
20,0.7518105673969037,Park,University
21,0.5910279054594048,Home (private),Hotel
22,1.149436633593718,Home (private),Event Space
23,0.4478417385535952,Home (private),Pub
24,3.859352214367069,Home (private),Stadium
25,0.5053068740818161,Home (private),Office
26,0.5496049515061971,Home (private),Coffee Shop
27,0.5833836844507214,Home (private),Plaza
28,0.4574604378834634,Home (private),Gym
29,0.4644447398603154,Home (private),Grocery Store
30,1.0132984372101008,Home (private),Monument / Landmark
31,0.525462807744531,Home (private),Bar
32,0.5634035833245548,Home (private),History Museum
33,0.7043366909030219,Home (private),Department Store
34,0.7274060623688676,Home (private),Scenic Lookout
35,0.6872604819776603,Home (private),Soccer Stadium
36,0.8273627816986305,Home (private),Ramen /  Noodle House
37,0.6880038280405942,Home (private),Theater
38,0.4073663587826646,Home (private),Church
39,0.557346737251837,Home (private),Farmers Market
40,0.3971544751901656,Home (private),University
41,1.2256658156883675,Hotel,Event Space
42,0.4696310263543373,Hotel,Pub
43,4.1190468543268866,Hotel,Stadium
44,0.5362724114511856,Hotel,Office
45,0.5821662844080319,Hotel,Coffee Shop
46,0.6247270096262862,Hotel,Plaza
47,0.473597149248825,Hotel,Gym
48,0.4754077265467172,Hotel,Grocery Store
49,1.0651261582329872,Hotel,Monument / Landmark
50,0.5574929989402561,Hotel,Bar
51,0.5972577480917549,Hotel,History Museum
52,0.7350253872698655,Hotel,Department Store
53,0.7139424636255358,Hotel,Scenic Lookout
54,0.7350064604273577,Hotel,Soccer Stadium
55,0.8825871525896083,Hotel,Ramen /  Noodle House
56,0.7250452276947995,Hotel,Theater
57,0.4219786398742349,Hotel,Church
58,0.5664497211784941,Hotel,Farmers Market
59,0.4206225329446686,Hotel,University
60,1.4563490296930712,Event Space,Pub
61,13.931571211089757,Event Space,Stadium
62,1.6813400717258409,Event Space,Office
63,1.8110644148893709,Event Space,Coffee Shop
64,1.9266686100100348,Event Space,Plaza
65,1.4765167372018069,Event Space,Gym
66,1.4785173821598203,Event Space,Grocery Store
67,3.318093319733366,Event Space,Monument / Landmark
68,1.7393300831673308,Event Space,Bar
69,1.8567160208477311,Event Space,History Museum
70,2.2883597250306305,Event Space,Department Store
71,2.3312158531360567,Event Space,Scenic Lookout
72,2.4499390033854707,Event Space,Soccer Stadium
73,2.73712383415981,Event Space,Ramen /  Noodle House
74,2.2780090789554457,Event Space,Theater
75,1.3091516130286094,Event Space,Church
76,1.7790906319166475,Event Space,Farmers Market
77,1.301990962177015,Event Space,University
78,1.8415397844999433,Pub,Stadium
79,0.2490483602326493,Pub,Office
80,0.27072486536273344,Pub,Coffee Shop
81,0.2877986528230722,Pub,Plaza
82,0.22178812306590606,Pub,Gym
83,0.22375837916594765,Pub,Grocery Store
84,0.4829909709260961,Pub,Monument / Landmark
85,0.2598072747143739,Pub,Bar
86,0.27611541758274355,Pub,History Museum
87,0.34370923585586355,Pub,Department Store
88,0.3302221137928535,Pub,Scenic Lookout
89,0.3339418021384691,Pub,Soccer Stadium
90,0.4070767953984883,Pub,Ramen /  Noodle House
91,0.339337924197783,Pub,Theater
92,0.19743790719923127,Pub,Church
93,0.2675150631224352,Pub,Farmers Market
94,0.19310870384210904,Pub,University
95,12.161824040577777,Stadium,Office
96,13.213210616078555,Stadium,Coffee Shop
97,14.028269905422482,Stadium,Plaza
98,10.734686025508935,Stadium,Gym
99,10.87437045812814,Stadium,Grocery Store
100,24.58816252722073,Stadium,Monument / Landmark
101,12.636522645565407,Stadium,Bar
102,13.44463795237016,Stadium,History Museum
103,16.72043885726406,Stadium,Department Store
104,16.499795995817777,Stadium,Scenic Lookout
105,17.29611200350783,Stadium,Soccer Stadium
106,19.879607097561248,Stadium,Ramen /  Noodle House
107,16.602722871549105,Stadium,Theater
108,9.526198552979436,Stadium,Church
109,12.9682369859145,Stadium,Farmers Market
110,9.434286186680843,Stadium,University
111,0.3150214713074617,Office,Coffee Shop
112,0.33786318326090137,Office,Plaza
113,0.2575456990562775,Office,Gym
114,0.25299901643343203,Office,Grocery Store
115,0.573802899187564,Office,Monument / Landmark
116,0.3023919302590219,Office,Bar
117,0.3225365171958645,Office,History Museum
118,0.38847920743184267,Office,Department Store
119,0.3869480678044103,Office,Scenic Lookout
120,0.3994566571847763,Office,Soccer Stadium
121,0.480050253687085,Office,Ramen /  Noodle House
122,0.3987136045287805,Office,Theater
123,0.2295101414907848,Office,Church
124,0.3065979723711423,Office,Farmers Market
125,0.2267673240361679,Office,University
126,0.5498720536643124,Coffee Shop,Plaza
127,0.4223263522316709,Coffee Shop,Gym
128,0.4249508118602659,Coffee Shop,Grocery Store
129,0.9346586177071592,Coffee Shop,Monument / Landmark
130,0.4972331019097359,Coffee Shop,Bar
131,0.5286973807026312,Coffee Shop,History Museum
132,0.6679582241606156,Coffee Shop,Department Store
133,0.6434162302801921,Coffee Shop,Scenic Lookout
134,0.6460748450396391,Coffee Shop,Soccer Stadium
135,0.7877135017613784,Coffee Shop,Ramen /  Noodle House
136,0.6518495599801357,Coffee Shop,Theater
137,0.3759511567587006,Coffee Shop,Church
138,0.5089302486183973,Coffee Shop,Farmers Market
139,0.3693111795476204,Coffee Shop,University
140,2.9424071536155494,Plaza,Gym
141,2.965558149798828,Plaza,Grocery Store
142,6.595467158634187,Plaza,Monument / Landmark
143,3.460028722767689,Plaza,Bar
144,3.7055652206096448,Plaza,History Museum
145,4.577447621217509,Plaza,Department Store
146,4.510584630300684,Plaza,Scenic Lookout
147,4.614512870509624,Plaza,Soccer Stadium
148,5.4533115603526525,Plaza,Ramen /  Noodle House
149,4.532194843298901,Plaza,Theater
150,2.613588196061165,Plaza,Church
151,3.5559481585290547,Plaza,Farmers Market
152,2.5856095003391544,Plaza,University
153,1.4361826068949834,Gym,Grocery Store
154,3.1504103184751613,Gym,Monument / Landmark
155,1.6693288507252546,Gym,Bar
156,1.7827452099066283,Gym,History Museum
157,2.2105987948783885,Gym,Department Store
158,2.1719777771108166,Gym,Scenic Lookout
159,2.199817923662565,Gym,Soccer Stadium
160,2.6385190724540286,Gym,Ramen /  Noodle House
161,2.189553343998212,Gym,Theater
162,1.2709107248333271,Gym,Church
163,1.7262602391850381,Gym,Farmers Market
164,1.24995336164834,Gym,University
165,1.2256751500119734,Grocery Store,Monument / Landmark
166,0.6550085695306856,Grocery Store,Bar
167,0.6977154793645584,Grocery Store,History Museum
168,0.8766711271885544,Grocery Store,Department Store
169,0.8463656586734184,Grocery Store,Scenic Lookout
170,0.8611160736562976,Grocery Store,Soccer Stadium
171,1.0268522100772908,Grocery Store,Ramen /  Noodle House
172,0.8501825720704094,Grocery Store,Theater
173,0.4937475401336556,Grocery Store,Church
174,0.6716108456362984,Grocery Store,Farmers Market
175,0.4865237825487214,Grocery Store,University
176,6.1288550499028105,Monument / Landmark,Bar
177,6.5624005360731825,Monument / Landmark,History Museum
178,8.105628183303079,Monument / Landmark,Department Store
179,8.019124750629077,Monument / Landmark,Scenic Lookout
180,8.10417258981321,Monument / Landmark,Soccer Stadium
181,9.676766092089293,Monument / Landmark,Ramen /  Noodle House
182,8.049274271232463,Monument / Landmark,Theater
183,4.644154098874024,Monument / Landmark,Church
184,6.304493712039348,Monument / Landmark,Farmers Market
185,4.590936721094429,Monument / Landmark,University
186,0.65970131359897,Bar,History Museum
187,0.8127107341633729,Bar,Department Store
188,0.7972979533049693,Bar,Scenic Lookout
189,0.8151233349243348,Bar,Soccer Stadium
190,0.9750679734961996,Bar,Ramen /  Noodle House
191,0.8127907934098377,Bar,Theater
192,0.4687295595064784,Bar,Church
193,0.6383260990403196,Bar,Farmers Market
194,0.4643195657977468,Bar,University
195,9.773867180661652,History Museum,Department Store
196,9.644277930081405,History Museum,Scenic Lookout
197,9.745439591708477,History Museum,Soccer Stadium
198,11.64378053378226,History Museum,Ramen /  Noodle House
199,9.688878115431027,History Museum,Theater
200,5.601931167692957,History Museum,Church
201,7.606959956808466,History Museum,Farmers Market
202,5.567883685651217,History Museum,University
203,5.180784109955742,Department Store,Scenic Lookout
204,5.214028478344184,Department Store,Soccer Stadium
205,6.2892652685938994,Department Store,Ramen /  Noodle House
206,5.188039665540623,Department Store,Theater
207,3.002134439993041,Department Store,Church
208,4.0829583458399785,Department Store,Farmers Market
209,2.9662436308152165,Department Store,University
210,10.247376264348004,Scenic Lookout,Soccer Stadium
211,12.287806818762453,Scenic Lookout,Ramen /  Noodle House
212,10.200092701265348,Scenic Lookout,Theater
213,5.897210355852043,Scenic Lookout,Church
214,8.020813892566293,Scenic Lookout,Farmers Market
215,5.8320970732478274,Scenic Lookout,University
216,18.754341042902876,Soccer Stadium,Ramen /  Noodle House
217,15.588405891576945,Soccer Stadium,Theater
218,8.990048342047755,Soccer Stadium,Church
219,12.243564900795652,Soccer Stadium,Farmers Market
220,8.924452238897647,Soccer Stadium,University
221,12.230411865555205,Ramen /  Noodle House,Theater
222,7.052261438478501,Ramen /  Noodle House,Church
223,9.59539885516597,Ramen /  Noodle House,Farmers Market
224,6.9813967431664326,Ramen /  Noodle House,University
225,2.4775701431242845,Theater,Church
226,3.3752199733433867,Theater,Farmers Market
227,2.4708564351758997,Theater,University
228,2.268483932231487,Church,Farmers Market
229,1.6583736137540668,Church,University
230,6.9764092444372645,Farmers Market,University
0,0.8199155483801417,Train Station,Subway
1,0.6901505813068656,Train Station,Park
2,0.5616916188360219,Train Station,Home (private)
3,0.7780459742980522,Train Station,Hotel
4,1.5106947152378007,Train Station,Event Space
5,0.6659053029087172,Train Station,Office
6,0.5523753789879935,Train Station,Neighborhood
7,0.5921447241155546,Train Station,Pub
8,5.1456202684156604,Train Station,Stadium
9,1.3880506313880832,Train Station,General Entertainment
10,0.7321167307358578,Train Station,Coffee Shop
11,0.8169883323116094,Train Station,Building
12,1.1556938685337732,Train Station,Platform
13,0.7683685314458155,Train Station,Plaza
14,0.6002827984939649,Train Station,Gym
15,1.0104599046598493,Train Station,Bridge
16,0.6118680481655893,Train Station,Grocery Store
17,0.7768094827915168,Train Station,Road
18,0.5769648617660204,Train Station,Residential Building (Apartment / Condo)
19,0.6166702732436611,Train Station,Mall
20,1.3030270136896118,Train Station,Monument / Landmark
21,0.6704636976413819,Train Station,Cafe
22,0.8461452005270113,Train Station,Market
23,0.8066245717901167,Train Station,Gay Bar
24,0.9560092140669266,Train Station,Clothing Store
25,1.3037667518285363,Train Station,Performing Arts Venue
26,0.8880744815998657,Train Station,Flea Market
27,0.7375415674214943,Train Station,History Museum
28,0.9070694810832955,Train Station,Scenic Lookout
29,0.9467373241270334,Train Station,Art Museum
30,0.695847173006875,Train Station,Bar
31,0.9263112132268364,Train Station,Department Store
32,0.7505680868954685,Train Station,Bus Line
33,1.1389712611692129,Train Station,Music Venue
34,0.8365942330383399,Train Station,Bus Station
35,1.6423007772429965,Train Station,Racetrack
36,0.8534192739004405,Train Station,Art Gallery
37,1.0214082499131405,Train Station,Train
38,2.1266280069123167,Train Station,Athletic & Sport
39,0.767001843506357,Train Station,Electronics Store
40,0.8110317040220786,Train Station,Fast Food Restaurant
41,0.944026605619352,Train Station,General Travel
42,0.921260514119442,Train Station,Soccer Stadium
43,0.6725518938933411,Train Station,Other Great Outdoors
44,0.904671914131606,Train Station,Theater
45,0.7192079453259652,Train Station,Italian Restaurant
46,0.4199136886602052,Train Station,Airport Terminal
47,0.5262499719025729,Train Station,Church
48,0.8342095959794982,Train Station,Garden
49,2.6501575033834457,Train Station,Tennis Court
50,0.7105016384725501,Train Station,Nightclub
51,1.6111272406276622,Train Station,Science Museum
52,0.4643646910628109,Train Station,College Residence Hall
53,0.7021608630442274,Train Station,Sandwich Place
54,1.007474620127397,Train Station,Sporting Goods Shop
55,1.602723550170832,Train Station,Castle
56,1.1972138167577902,Train Station,Light Rail
57,1.0922855383560264,Train Station,Ramen /  Noodle House
58,0.8069020691838541,Train Station,Mexican Restaurant
59,0.8628191490894428,Train Station,Movie Theater
60,1.0721336384069444,Train Station,Theme Park
61,0.717334618571507,Train Station,Farmers Market
62,1.88234604979574,Train Station,Pool
63,0.5156252892524814,Train Station,University
64,0.7462879257258438,Train Station,Cupcake Shop
65,2.643285471020927,Subway,Park
66,2.13201317783999,Subway,Home (private)
67,3.0303125349286675,Subway,Hotel
68,5.843898098861658,Subway,Event Space
69,2.590474783374312,Subway,Office
70,2.1248591399657197,Subway,Neighborhood
71,2.268490048272856,Subway,Pub
72,19.843896666593974,Subway,Stadium
73,5.397850625681838,Subway,General Entertainment
74,2.806900534726143,Subway,Coffee Shop
75,3.145511430329341,Subway,Building
76,4.393200785876758,Subway,Platform
77,3.0062770190395582,Subway,Plaza
78,2.314947038370812,Subway,Gym
79,3.9125371143657564,Subway,Bridge
80,2.3192822325499503,Subway,Grocery Store
81,2.8480231723834564,Subway,Road
82,2.2502186418597225,Subway,Residential Building (Apartment / Condo)
83,2.364531101272501,Subway,Mall
84,5.095916118551868,Subway,Monument / Landmark
85,2.4966539708247946,Subway,Cafe
86,3.322285734058739,Subway,Market
87,3.1523755002324236,Subway,Gay Bar
88,3.697861768353456,Subway,Clothing Store
89,4.991518429892714,Subway,Performing Arts Venue
90,3.431051474417807,Subway,Flea Market
91,2.872998404144325,Subway,History Museum
92,3.5259812455547483,Subway,Scenic Lookout
93,3.705672635217936,Subway,Art Museum
94,2.6939769933028543,Subway,Bar
95,3.567512474394694,Subway,Department Store
96,2.87870432462178,Subway,Bus Line
97,4.437446063014576,Subway,Music Venue
98,3.2430261211548874,Subway,Bus Station
99,6.4193834329039055,Subway,Racetrack
100,3.320462380947044,Subway,Art Gallery
101,3.9366645978088304,Subway,Train
102,7.879594218271338,Subway,Athletic & Sport
103,2.963439043507212,Subway,Electronics Store
104,3.107092679326541,Subway,Fast Food Restaurant
105,3.5761242436484038,Subway,General Travel
106,3.54920769395083,Subway,Soccer Stadium
107,2.582831746985851,Subway,Other Great Outdoors
108,3.52378050546893,Subway,Theater
109,2.795737297849544,Subway,Italian Restaurant
110,1.6333581924587182,Subway,Airport Terminal
111,2.0360363314253616,Subway,Church
112,3.1417721865904467,Subway,Garden
113,10.38887474922593,Subway,Tennis Court
114,2.772247979228349,Subway,Nightclub
115,6.311168452507693,Subway,Science Museum
116,1.8033910005361,Subway,College Residence Hall
117,2.729586247076392,Subway,Sandwich Place
118,3.9015244118049033,Subway,Sporting Goods Shop
119,6.2496053071629145,Subway,Castle
120,4.569285619766945,Subway,Light Rail
121,4.246861281001904,Subway,Ramen /  Noodle House
122,3.1457753353912503,Subway,Mexican Restaurant
123,3.347697301002877,Subway,Movie Theater
124,4.1889680671035805,Subway,Theme Park
125,2.773696487068268,Subway,Farmers Market
126,7.2997474734215535,Subway,Pool
127,2.0169519868025065,Subway,University
128,2.9121350142302003,Subway,Cupcake Shop
129,0.7800208603171641,Park,Neighborhood
130,1.9984503609656337,Park,General Entertainment
131,1.1560965690114224,Park,Building
132,1.605095618415605,Park,Platform
133,1.4563364540779828,Park,Bridge
134,1.057954344490197,Park,Road
135,0.8305813246379828,Park,Residential Building (Apartment / Condo)
136,0.8698960608466958,Park,Mall
137,0.9211066522193456,Park,Cafe
138,1.2165714724199643,Park,Market
139,1.1661022851886793,Park,Gay Bar
140,1.3550685042786037,Park,Clothing Store
141,1.837434567553765,Park,Performing Arts Venue
142,1.2591145705267908,Park,Flea Market
143,1.3582156354571984,Park,Art Museum
144,1.0683692871494683,Park,Bus Line
145,1.6643540742334544,Park,Music Venue
146,1.2067603617805016,Park,Bus Station
147,2.358498499175876,Park,Racetrack
148,1.2248986744334218,Park,Art Gallery
149,1.4423561480240064,Park,Train
150,2.9529447245798655,Park,Athletic & Sport
151,1.0812836122784504,Park,Electronics Store
152,1.1444019768764409,Park,Fast Food Restaurant
153,1.3215558006816504,Park,General Travel
154,0.9640793214826021,Park,Other Great Outdoors
155,1.0287200874574922,Park,Italian Restaurant
156,0.5983950968756677,Park,Airport Terminal
157,1.1727656848911676,Park,Garden
