,event,code,venue_cleaned,venue_loc,City,start_datetime,end_datetime,start_timestamp,end_timestamp
191,Archery,,lord's,"[51.529934, -0.172178]",London,2012-07-27 09:00:00,2012-07-27 11:00:00,1343379600.0,1343386800.0
192,Archery,,lord's,"[51.529934, -0.172178]",London,2012-07-27 13:00:00,2012-07-27 15:00:00,1343394000.0,1343401200.0
1048,Shooting,SH001,royal artillery barracks,"[51.487557, 0.059606]",London,2012-07-28 08:15:00,2012-07-28 16:00:00,1343463300.0,1343491200.0
1047,Shooting,SH001,royal artillery barracks,"[51.487557, 0.059606]",London,2012-07-28 08:15:00,2012-07-28 16:00:00,1343463300.0,1343491200.0
131,Badminton,BD001,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 08:30:00,2012-07-28 11:00:00,1343464200.0,1343473200.0
130,Badminton,BD001,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 08:30:00,2012-07-28 11:00:00,1343464200.0,1343473200.0
129,Badminton,BD001,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 08:30:00,2012-07-28 11:00:00,1343464200.0,1343473200.0
193,Archery,AR003,lord's,"[51.529934, -0.172178]",London,2012-07-28 09:00:00,2012-07-28 12:20:00,1343466000.0,1343478000.0
740,Table Tennis,TT001,excel,"[51.507218, 0.030504]",London,2012-07-28 09:00:00,2012-07-28 12:45:00,1343466000.0,1343479500.0
741,Table Tennis,TT001,excel,"[51.507218, 0.030504]",London,2012-07-28 09:00:00,2012-07-28 12:45:00,1343466000.0,1343479500.0
213,Beach Volleyball,BV001,horse guards parade,"[51.504798, -0.12838]",London,2012-07-28 09:00:00,2012-07-28 12:50:00,1343466000.0,1343479800.0
917,Basketball,BK001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 09:00:00,2012-07-28 13:00:00,1343466000.0,1343480400.0
520,Judo,JU001,excel,"[51.507218, 0.030504]",London,2012-07-28 09:30:00,2012-07-28 12:30:00,1343467800.0,1343478600.0
548,Rowing,RO001,eton dorney,"[51.493908, -0.663455]",London,2012-07-28 09:30:00,2012-07-28 14:10:00,1343467800.0,1343484600.0
778,Volleyball,VO001,earls court,"[51.492483, -0.199686]",London,2012-07-28 09:30:00,2012-07-28 13:00:00,1343467800.0,1343480400.0
549,Rowing,RO001,eton dorney,"[51.493908, -0.663455]",London,2012-07-28 09:30:00,2012-07-28 14:10:00,1343467800.0,1343484600.0
521,Judo,JU001,excel,"[51.507218, 0.030504]",London,2012-07-28 09:30:00,2012-07-28 12:30:00,1343467800.0,1343478600.0
1001,Handball,HB001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 09:30:00,2012-07-28 12:45:00,1343467800.0,1343479500.0
374,Cycling - Road,CR001,the mall,"[51.504581, -0.13436]",London,2012-07-28 10:00:00,2012-07-28 16:15:00,1343469600.0,1343492100.0
422,Equestrian - Eventing,EV001,greenwich park,"[51.476958, 0.001483]",London,2012-07-28 10:00:00,2012-07-28 16:15:00,1343469600.0,1343492100.0
626,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
630,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
627,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
629,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
625,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
628,Swimming,SW001,olympic park,"[51.54343, -0.016627]",London,2012-07-28 10:00:00,2012-07-28 13:00:00,1343469600.0,1343480400.0
430,Fencing,FE001,excel,"[51.507218, 0.030504]",London,2012-07-28 10:30:00,2012-07-28 15:30:00,1343471400.0,1343489400.0
450,Gymnastics - Artistic,GA001,north greenwich arena,"[51.503126, 0.003191]",London,2012-07-28 11:00:00,2012-07-28 13:10:00,1343473200.0,1343481000.0
1079,Tennis,TE003,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 11:30:00,2012-07-28 20:00:00,1343475000.0,1343505600.0
1080,Tennis,TE003,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 11:30:00,2012-07-28 20:00:00,1343475000.0,1343505600.0
1076,Tennis,TE001,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 12:00:00,2012-07-28 20:00:00,1343476800.0,1343505600.0
1077,Tennis,TE002,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 12:00:00,2012-07-28 20:00:00,1343476800.0,1343505600.0
1078,Tennis,TE002,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 12:00:00,2012-07-28 20:00:00,1343476800.0,1343505600.0
1075,Tennis,TE001,wimbledon,"[51.419528, -0.220417]",London,2012-07-28 12:00:00,2012-07-28 20:00:00,1343476800.0,1343505600.0
133,Badminton,BD002,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 12:30:00,2012-07-28 17:00:00,1343478600.0,1343494800.0
134,Badminton,BD002,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 12:30:00,2012-07-28 17:00:00,1343478600.0,1343494800.0
132,Badminton,BD002,wembley arena,"[51.558196, -0.282597]",London,2012-07-28 12:30:00,2012-07-28 17:00:00,1343478600.0,1343494800.0
258,Boxing,BX001,excel,"[51.507218, 0.030504]",London,2012-07-28 13:30:00,2012-07-28 16:30:00,1343482200.0,1343493000.0
257,Boxing,BX001,excel,"[51.507218, 0.030504]",London,2012-07-28 13:30:00,2012-07-28 16:30:00,1343482200.0,1343493000.0
522,Judo,JU002,excel,"[51.507218, 0.030504]",London,2012-07-28 14:00:00,2012-07-28 16:30:00,1343484000.0,1343493000.0
523,Judo,JU002,excel,"[51.507218, 0.030504]",London,2012-07-28 14:00:00,2012-07-28 16:30:00,1343484000.0,1343493000.0
743,Table Tennis,TT002,excel,"[51.507218, 0.030504]",London,2012-07-28 14:30:00,2012-07-28 17:30:00,1343485800.0,1343496600.0
214,Beach Volleyball,BV002,horse guards parade,"[51.504798, -0.12838]",London,2012-07-28 14:30:00,2012-07-28 18:20:00,1343485800.0,1343499600.0
1002,Handball,HB002,olympic park,"[51.54343, -0.016627]",London,2012-07-28 14:30:00,2012-07-28 17:45:00,1343485800.0,1343497500.0
742,Table Tennis,TT002,excel,"[51.507218, 0.030504]",London,2012-07-28 14:30:00,2012-07-28 17:30:00,1343485800.0,1343496600.0
918,Basketball,BK002,olympic park,"[51.54343, -0.016627]",London,2012-07-28 14:30:00,2012-07-28 18:30:00,1343485800.0,1343500200.0
