,User ID,Venue ID,UTC time,Timezone offset,Latitude,Longitude,Category,City,TimeStamp,Date
206364,10697,4ad9f573f964a520611c21e3,Thu Jul 26 20:50:34 +0000 2012,60,51.51374000000001,-0.139664,Sandwich Place,London,1343335834.0,2012-07-26 20:50:34
270526,26500,4f6c5507121d7483f0ac8610,Thu Jul 26 20:53:24 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343336004.0,2012-07-26 20:53:24
233354,197311,4ac518cdf964a520f0a520e3,Thu Jul 26 20:54:55 +0000 2012,180,51.504976,-0.12866,Stables,London,1343336095.0,2012-07-26 20:54:55
32383,193656,4ac518f7f964a520c6af20e3,Thu Jul 26 20:55:17 +0000 2012,60,51.5312,-0.126343,Train Station,London,1343336117.0,2012-07-26 20:55:17
94158,147247,4e53f46cb0fb6cfefec85d75,Thu Jul 26 20:55:29 +0000 2012,60,51.53155,-0.106296,Italian Restaurant,London,1343336129.0,2012-07-26 20:55:29
270527,264578,4f6c5507121d7483f0ac8610,Thu Jul 26 20:55:29 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343336129.0,2012-07-26 20:55:29
150684,59029,4bd2b82c41b9ef3b7ba0fee5,Thu Jul 26 20:55:59 +0000 2012,60,51.481269,-0.021812,College Residence Hall,London,1343336159.0,2012-07-26 20:55:59
214110,186145,4bd860ec5cf276b084129d00,Thu Jul 26 21:00:14 +0000 2012,60,51.514229,-0.141148,Cocktail Bar,London,1343336414.0,2012-07-26 21:00:14
128815,245046,4ac518f6f964a52066af20e3,Thu Jul 26 21:01:34 +0000 2012,60,51.463892,-0.134562,Gym / Fitness Center,London,1343336494.0,2012-07-26 21:01:34
220726,81931,4bad1ab6f964a520f62d3be3,Thu Jul 26 21:03:22 +0000 2012,60,51.586074,-0.250221,Bar,London,1343336602.0,2012-07-26 21:03:22
270528,8165,4f6c5507121d7483f0ac8610,Thu Jul 26 21:05:54 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343336754.0,2012-07-26 21:05:54
210304,82725,4aeb3f55f964a52019c021e3,Thu Jul 26 21:06:38 +0000 2012,60,51.518598,-0.140448,Pub,London,1343336798.0,2012-07-26 21:06:38
100713,8165,4acda8b1f964a5208ecc20e3,Thu Jul 26 21:09:04 +0000 2012,60,51.524045,-0.109536,Office,London,1343336944.0,2012-07-26 21:09:04
270529,224864,4f6c5507121d7483f0ac8610,Thu Jul 26 21:09:37 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343336977.0,2012-07-26 21:09:37
270530,179542,4f6c5507121d7483f0ac8610,Thu Jul 26 21:10:35 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343337035.0,2012-07-26 21:10:35
45987,8165,4abf8c03f964a520079120e3,Thu Jul 26 21:12:01 +0000 2012,60,51.499166,-0.162885,Department Store,London,1343337121.0,2012-07-26 21:12:01
170284,18883,4c7179339375a093e7f00937,Thu Jul 26 21:12:42 +0000 2012,60,51.579505,0.002156,General Entertainment,London,1343337162.0,2012-07-26 21:12:42
264757,41712,4ffb1d29e4b0d61585c03203,Thu Jul 26 21:12:58 +0000 2012,60,51.446706,0.029262,Home (private),London,1343337178.0,2012-07-26 21:12:58
4821,193656,4acbc300f964a52058c520e3,Thu Jul 26 21:13:07 +0000 2012,60,51.528437,-0.134025,Train Station,London,1343337187.0,2012-07-26 21:13:07
201220,209763,4ac518e7f964a52041ab20e3,Thu Jul 26 21:13:28 +0000 2012,60,51.50984,-0.12688,Opera House,London,1343337208.0,2012-07-26 21:13:28
270531,99983,4f6c5507121d7483f0ac8610,Thu Jul 26 21:14:26 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343337266.0,2012-07-26 21:14:26
215399,5879,4c92919e2bf7b60c9fb8630a,Thu Jul 26 21:15:02 +0000 2012,60,51.530302,-0.122324,Hotel,London,1343337302.0,2012-07-26 21:15:02
270629,8165,4bae03a1f964a520fe7a3be3,Thu Jul 26 21:15:04 +0000 2012,60,51.513583,-0.125066,Shoe Store,London,1343337304.0,2012-07-26 21:15:04
263653,51889,4e3fe4e6d164b52911cbc6c8,Thu Jul 26 21:15:29 +0000 2012,60,51.511463,-0.009407,Pizza Place,London,1343337329.0,2012-07-26 21:15:29
9248,71183,4ac518f6f964a52052af20e3,Thu Jul 26 21:16:03 +0000 2012,60,51.495359,-0.14456,Train Station,London,1343337363.0,2012-07-26 21:16:03
270467,51889,4ef2d4b59a52fadb33f6f1a1,Thu Jul 26 21:16:21 +0000 2012,60,51.51139600000001,-0.007758,Coffee Shop,London,1343337381.0,2012-07-26 21:16:21
266231,96852,4b5c5a57f964a520192c29e3,Thu Jul 26 21:16:43 +0000 2012,60,51.54100800000001,-0.195968,Brazilian Restaurant,London,1343337403.0,2012-07-26 21:16:43
270630,71183,4c8fb5b51992a1cd9e4ce8fb,Thu Jul 26 21:16:54 +0000 2012,60,51.488961,-0.164971,Electronics Store,London,1343337414.0,2012-07-26 21:16:54
78297,722,4ee3558a4690f8893f69e3f3,Thu Jul 26 21:16:55 +0000 2012,60,51.438119,0.052786,Automotive Shop,London,1343337415.0,2012-07-26 21:16:55
10415,722,4f4a8910e4b082dc588778b5,Thu Jul 26 21:17:33 +0000 2012,60,51.431788,0.05661,Grocery Store,London,1343337453.0,2012-07-26 21:17:33
10482,722,4f4ea104e4b0f03ee61495cb,Thu Jul 26 21:17:41 +0000 2012,60,51.431778,0.056673,Grocery Store,London,1343337461.0,2012-07-26 21:17:41
270532,212687,4f6c5507121d7483f0ac8610,Thu Jul 26 21:18:48 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343337528.0,2012-07-26 21:18:48
267890,5891,5002fcc3e4b0ed5449ebd77e,Thu Jul 26 21:20:21 +0000 2012,60,51.44670900000001,-0.005850999999999999,Home (private),London,1343337621.0,2012-07-26 21:20:21
234261,71645,4f95985333bde2c764ee3466,Thu Jul 26 21:20:53 +0000 2012,60,51.50355,-0.18942,Moving Target,London,1343337653.0,2012-07-26 21:20:53
270631,71183,4ac518c4f964a5207aa420e3,Thu Jul 26 21:21:17 +0000 2012,60,51.48423,-0.172223,Pub,London,1343337677.0,2012-07-26 21:21:17
270633,17891,4f6c6f74121d7483f0afe569,Thu Jul 26 21:22:03 +0000 2012,60,51.490055,0.067896,General Entertainment,London,1343337723.0,2012-07-26 21:22:03
88177,252961,4ac518c6f964a52021a520e3,Thu Jul 26 21:22:33 +0000 2012,60,51.514263,-0.13119,Cocktail Bar,London,1343337753.0,2012-07-26 21:22:33
160514,140000,4ba5fd44f964a5200c2d39e3,Thu Jul 26 21:26:51 +0000 2012,60,51.481171,-0.438225,Hotel,London,1343338011.0,2012-07-26 21:26:51
12386,114982,4af47862f964a520d6f221e3,Thu Jul 26 21:27:44 +0000 2012,60,51.517836,-0.081861,Train Station,London,1343338064.0,2012-07-26 21:27:44
238496,69047,4be808779a54a593506f0911,Thu Jul 26 21:28:09 +0000 2012,60,51.514949,-0.091217,Restaurant,London,1343338089.0,2012-07-26 21:28:09
257811,105353,4b083a8ef964a520d50623e3,Thu Jul 26 21:28:56 +0000 2012,60,51.465023,-0.214834,Cocktail Bar,London,1343338136.0,2012-07-26 21:28:56
123998,2281,4d8a3c2a5ecdf04dcaa9ba8a,Thu Jul 26 21:29:25 +0000 2012,60,51.541242,-0.11167,Home (private),London,1343338165.0,2012-07-26 21:29:25
190375,61055,4ee4f889a69d89905c8e6534,Thu Jul 26 21:31:01 +0000 2012,60,51.484875,0.004826,Bar,London,1343338261.0,2012-07-26 21:31:01
191570,8165,4ad0b427f964a5203ad920e3,Thu Jul 26 21:31:12 +0000 2012,60,51.512574,-0.138178,Clothing Store,London,1343338272.0,2012-07-26 21:31:12
112644,45577,4c9c6a059c48236a1cb14dee,Thu Jul 26 21:31:37 +0000 2012,60,51.509898,-0.134963,Plaza,London,1343338297.0,2012-07-26 21:31:37
270639,8165,4b77fbb0f964a520efb02ee3,Thu Jul 26 21:32:02 +0000 2012,60,51.507019,-0.222234,Clothing Store,London,1343338322.0,2012-07-26 21:32:02
42147,125036,4ace31a2f964a520face20e3,Thu Jul 26 21:32:04 +0000 2012,60,51.587116,-0.164693,Train Station,London,1343338324.0,2012-07-26 21:32:04
257281,51461,4be5a870d4f7c9b6b6b32520,Thu Jul 26 21:32:42 +0000 2012,60,51.412671,-0.183549,Pub,London,1343338362.0,2012-07-26 21:32:42
112645,50793,4c9c6a059c48236a1cb14dee,Thu Jul 26 21:32:53 +0000 2012,60,51.509898,-0.134963,Plaza,London,1343338373.0,2012-07-26 21:32:53
122831,44341,4b75b7d8f964a520711f2ee3,Thu Jul 26 21:33:23 +0000 2012,60,51.50938,-0.002213,Light Rail,London,1343338403.0,2012-07-26 21:33:23
236760,8165,4c385f5218e72d7ff92e18f5,Thu Jul 26 21:34:01 +0000 2012,60,51.509832,-0.150725,Shoe Store,London,1343338441.0,2012-07-26 21:34:01
140032,164292,4b13ef42f964a520a19a23e3,Thu Jul 26 21:35:37 +0000 2012,60,51.474363,-0.200549,Pub,London,1343338537.0,2012-07-26 21:35:37
270533,56844,4f6c5507121d7483f0ac8610,Thu Jul 26 21:35:40 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343338540.0,2012-07-26 21:35:40
244298,227397,4cc09af467a3b1f74481c30e,Thu Jul 26 21:36:29 +0000 2012,60,51.528215,-0.091678,Gay Bar,London,1343338589.0,2012-07-26 21:36:29
204877,8165,4c9c94e49975a143b32833cf,Thu Jul 26 21:36:33 +0000 2012,60,51.515114,-0.152118,Shoe Store,London,1343338593.0,2012-07-26 21:36:33
245231,57094,4fbab91ae4b0d498b3c8ee87,Thu Jul 26 21:37:24 +0000 2012,60,51.541135,-0.194118,Home (private),London,1343338644.0,2012-07-26 21:37:24
244990,16837,4be46b102457a5931234aa15,Thu Jul 26 21:41:19 +0000 2012,60,51.461235,-0.138681,Bar,London,1343338879.0,2012-07-26 21:41:19
104069,5362,4c4b00809c8d2d7f95b5586a,Thu Jul 26 21:43:38 +0000 2012,60,51.550338,-0.015278,Track Stadium,London,1343339018.0,2012-07-26 21:43:38
270534,5362,4f6c5507121d7483f0ac8610,Thu Jul 26 21:43:45 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343339025.0,2012-07-26 21:43:45
270642,125036,4e3fd7878877b00cfc65785e,Thu Jul 26 21:45:48 +0000 2012,60,51.583235,-0.182606,Home (private),London,1343339148.0,2012-07-26 21:45:48
196432,89742,4daadb9d0437dccbd80f28c7,Thu Jul 26 21:46:46 +0000 2012,60,51.505569,-0.149087,Mosque,London,1343339206.0,2012-07-26 21:46:46
154354,1022,4f894efde4b076717aa7d84a,Thu Jul 26 21:50:16 +0000 2012,60,51.415193,-0.064328,Home (private),London,1343339416.0,2012-07-26 21:50:16
270535,39409,4f6c5507121d7483f0ac8610,Thu Jul 26 21:56:57 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343339817.0,2012-07-26 21:56:57
270536,231602,4f6c5507121d7483f0ac8610,Thu Jul 26 21:58:46 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343339926.0,2012-07-26 21:58:46
40422,122725,4b21114bf964a5208f3624e3,Thu Jul 26 22:00:12 +0000 2012,60,51.506085,-0.12703299999999998,Pub,London,1343340012.0,2012-07-26 22:00:12
106034,1296,4e1769e9d1648b834828525b,Thu Jul 26 22:00:30 +0000 2012,60,51.50091,0.070325,Other Great Outdoors,London,1343340030.0,2012-07-26 22:00:30
12387,50793,4af47862f964a520d6f221e3,Thu Jul 26 22:02:26 +0000 2012,60,51.517836,-0.081861,Train Station,London,1343340146.0,2012-07-26 22:02:26
270644,145638,5011be6ce4b07ac9f0c6914e,Thu Jul 26 22:04:21 +0000 2012,60,51.509817,-0.119193,Event Space,London,1343340261.0,2012-07-26 22:04:21
270647,242410,4c2bc6cb57a9c9b6bc74f667,Thu Jul 26 22:05:45 +0000 2012,60,51.419229,-0.202732,Pub,London,1343340345.0,2012-07-26 22:05:45
270651,259469,4f5a6ad6e4b00c49e44520e0,Thu Jul 26 22:08:07 +0000 2012,60,51.562019,-0.073938,Nightclub,London,1343340487.0,2012-07-26 22:08:07
270655,27837,4c0894cd340720a1c4708393,Thu Jul 26 22:08:16 +0000 2012,60,51.550234,-0.010871,Building,London,1343340496.0,2012-07-26 22:08:16
270537,25302,4f6c5507121d7483f0ac8610,Thu Jul 26 22:09:37 +0000 2012,60,51.507241,-0.158374,General Entertainment,London,1343340577.0,2012-07-26 22:09:37
